,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
20.Orange,0.0,0.0,0.21212121212121213,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.30303030303030304,0.06060606060606061,0.0,0.0,-0.16,-0.08,-0.03,0.0,0.02,-0.09,-0.03,0.0
21.Blue,0.0,0.0,0.208955223880597,0.0,0.1044776119402985,0.04477611940298507,0.0,0.0,0.0,0.05970149253731343,0.29850746268656714,0.0,0.22388059701492538,0.0,0.0,0.05970149253731343,0.0,0.23880597014925373,0.05970149253731343,0.0,0.0,-0.04,-0.23,-0.08,0.06,-0.09,0.05,-0.08,-0.04
21.Pink,0.0,0.0,0.15714285714285714,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.14285714285714285,0.2571428571428571,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.18571428571428572,0.014285714285714285,0.0,0.0,-0.02,0.02,0.05,0.03,0.06,-0.13,-0.19,0.0
21.Orange,0.0,0.0,0.09090909090909091,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.15151515151515152,0.12121212121212122,0.0,0.0,0.08,-0.04,0.05,0.02,0.01,-0.1,0.05,0.0
22.Blue,0.0,0.0,0.07228915662650602,0.0,0.060240963855421686,0.0,0.0,0.0,0.0,0.060240963855421686,0.14457831325301204,0.0,0.1566265060240964,0.0,0.0,0.024096385542168676,0.0,0.14457831325301204,0.03614457831325301,0.0,0.0,-0.07,-0.01,-0.06,0.16,0.05,0.01,0.09,-0.04
22.Pink,0.0,0.0,0.22033898305084745,0.0,0.1016949152542373,0.01694915254237288,0.0,0.0,0.0,0.13559322033898305,0.3728813559322034,0.03389830508474576,0.2033898305084746,0.0,0.0,0.05084745762711865,0.01694915254237288,0.11864406779661017,0.06779661016949153,0.0,0.0,0.0,-0.07,0.04,0.02,0.04,0.12,0.06,0.11
22.Orange,0.0,0.0,0.14,0.0,0.1,0.0,0.0,0.0,0.0,0.22,0.42,0.0,0.02,0.0,0.0,0.0,0.02,0.14,0.1,0.0,0.0,-0.02,-0.01,-0.02,-0.08,0.06,-0.09,-0.06,0.0
23.Orange,0.0,0.0,0.11206896551724138,0.0,0.07758620689655173,0.017241379310344827,0.0,0.0,0.004310344827586207,0.07758620689655173,0.21982758620689655,0.0,0.2025862068965517,0.0,0.0,0.06896551724137931,0.008620689655172414,0.1810344827586207,0.06896551724137931,0.004310344827586207,0.004310344827586207,-0.01,-0.04,0.02,0.06,-0.06,-0.0,-0.09,0.03
23.Blue,0.0,0.0,0.13471502590673576,0.0,0.09326424870466321,0.04145077720207254,0.0,0.0,0.0,0.05699481865284974,0.23834196891191708,0.0051813471502590676,0.16062176165803108,0.0,0.0,0.010362694300518135,0.0,0.36787564766839376,0.07772020725388601,0.0,0.0,-0.14,-0.04,-0.08,0.0,-0.06,-0.07,-0.03,0.01
24.Blue,0.0,0.0,0.15859030837004406,0.0,0.08370044052863436,0.022026431718061675,0.0,0.0,0.004405286343612335,0.07929515418502203,0.19823788546255505,0.004405286343612335,0.14537444933920704,0.0,0.0,0.01762114537444934,0.004405286343612335,0.2687224669603524,0.09251101321585903,0.0,0.0,0.03,0.02,0.09,-0.11,-0.01,0.04,-0.09,0.03
